nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
Jean Baptiste GROS,RC Toulon,1ère ligne,29 Mai 1999,France,,
Rémy GROSSO,ASM Clermont,Ailier,4 Décembre 1988,France,191,104
ARTHUR GUIGUE,Montpellier Hérault Rugby,Demi mêlée,10 Juillet 1999,France,174,84
ANTOINE GUILLAMON,Montpellier Hérault Rugby,1ère ligne,4 Juin 1991,France,192,127
Lucas GUILLERMIN,Stade Français Paris,1ère ligne,22 Septembre 1999,France,,
GUILHEM GUIRADO,Montpellier Hérault Rugby,1ère ligne,17 Juin 1986,France,181,108
SOFIANE GUITOUNE,Stade Toulousain,Arrière,27 Mars 1989,France,184,86
PIERRICK GUNTHER,Section Paloise,3e ligne,16 Octobre 1989,France,191,111
GIOVANNI HABEL KUFFNER,Section Paloise,3e ligne,9 Janvier 1995,Allemagne,,
MATTHIAS HADDAD,Stade Rochelais,3e ligne,10 Mars 2001,France,,
Matthias HALAGAHU,RC Toulon,2e ligne,15 Août 2001,France,,
TANGINOA PALU HALAIFONUA,LOU Rugby,2e ligne,20 Septembre 1996,Tonga,,
JAMES ROBERT HALL,Stade Français Paris,Demi mêlée,2 Janvier 1996,Afrique du Sud,,
MALIK HAMADACHE,Section Paloise,1ère ligne,17 Octobre 1988,France,193,127
KYLAN HAMDAOUI,Stade Français Paris,Arrière,15 Avril 1994,France,,
ISSAM HAMEL,Racing 92,1ère ligne,18 Juin 1997,France,,
Thibaut HAMONOU,Stade Toulousain,3e ligne,10 Mars 2000,France,,
MOHAMED HAOUAS,Montpellier Hérault Rugby,1ère ligne,9 Mars 1994,France,,
ANTOINE HASTOY,Section Paloise,Demi d'ouverture,4 Juin 1997,France,,
JULIAN HAUW,Montpellier Hérault Rugby,Arrière,10 Janvier 2001,France,,
Dylan HAYES,SU Agen,3e ligne,11 Février 1994,Nouvelle Zélande,,
Jeffrey HEAFALA,Stade Français Paris,1ère ligne,14 Avril 2001,France,,
Bryce Ian HEEM,RC Toulon,Ailier,18 Janvier 1989,Nouvelle Zélande,,
Julien HERITEAU,RC Toulon,Centre,12 Septembre 1994,France,181,91
RAMIRO EMIR HERRERA,Stade Rochelais,1ère ligne,14 Février 1989,Argentine,194,120
Enzo HERVE,CA Brive,Demi d'ouverture,13 Octobre 1998,France,,
Samuel Peter HIDALGO-CLYNE,LOU Rugby,Demi mêlée,4 Août 1993,Grande-Bretagne,,
SCOTT HIGGINBOTHAM,Union Bordeaux-Bègles,3e ligne,5 Septembre 1986,Australie,,
Michel HIMMER,Stade Rochelais,2e ligne,5 Avril 2000,Allemagne,,
